EOMONTH,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2007-09-30,5.755151749,53.22131348,28.86407661,35.66916656,18.91476059,49.37267303,31.81840134,380.3768005,24.34538078,32.2635994,4.713189602,78.14188385,13.27991581,43.68174744,57.4055748,25.61754608,25.58881378,19.63142204,21.34806061,35.90054321
2007-10-31,6.012744427,50.86653519,29.06551552,39.1267395,20.32670212,49.68268585,32.95556259,341.4996338,23.24499321,33.36332321,5.833518982,77.02748871,13.37776661,43.32936478,57.05207443,26.56552696,26.02541733,19.55547333,22.42333603,40.85263824
2007-11-30,5.090836525,49.01895905,27.8233242,39.29541016,20.54954147,52.01448822,34.91640854,274.9501343,22.37561607,32.38370514,5.596125603,70.01792145,13.07415199,45.31818008,55.51187515,25.21961594,27.11061478,17.88022614,21.03129768,39.88147736
2007-12-31,4.562094688,49.46891022,27.38578987,39.59113693,20.30798149,51.40334702,34.80287552,243.0791016,20.83008575,30.98528481,6.083199024,71.96179962,12.50738621,44.62242889,58.33230972,27.45735931,27.33444214,19.44784927,21.26493645,39.27031708
2008-01-31,4.501083374,48.67116547,25.31573486,36.00904846,19.52371979,46.08693695,37.15333939,235.2935791,23.51406288,33.94274139,4.1570158,71.30275726,12.85405064,42.24076843,53.35765076,21.23591423,24.37997437,18.18684196,19.08880234,43.62924194
2008-02-29,4.426518917,49.58988953,27.49608421,36.6133728,19.34502983,47.10956573,36.31126785,198.0409393,20.37501717,29.10911751,3.839466572,76.08602142,12.43305779,41.7263031,54.40708923,24.09747696,23.19320107,16.45746231,17.85488892,41.15221786
2008-03-31,3.877440453,53.67608261,26.62224579,37.73661041,20.27205467,49.16072464,38.75741577,178.9133606,20.28440094,30.75613594,4.407001972,76.94134521,11.67970371,43.68603134,52.88761902,20.67052269,22.51821709,18.09706306,17.91879845,36.5041275
2008-04-30,5.599240303,56.39433289,27.51305389,40.31464767,19.60598564,46.66183853,42.65670395,211.0709381,20.73748207,34.39990616,5.342146873,80.6567688,11.2221117,45.18104553,58.19639206,20.65692139,23.59591675,18.48028946,19.22578621,35.6257782
2008-05-31,4.609543324,56.91778946,28.5056572,40.13870621,19.06978226,46.50523758,42.65935516,185.1841431,19.41033554,31.04292488,5.796666622,86.84407043,10.97558022,45.26212692,55.74933243,23.3971405,23.75704384,19.04839897,19.22078514,38.30113602
2008-06-30,3.260574818,50.84307098,26.46954155,38.28874588,17.42548943,43.57439804,41.52157974,141.7855377,16.72090149,24.76937485,5.142220497,79.5304718,9.904104233,43.63446426,55.35362244,23.61567497,22.48579025,16.08372116,17.68692207,42.12173462
2008-07-31,3.253796101,48.16830063,25.74841499,40.72009659,17.26457787,45.60956192,43.30951691,160.8492889,21.31122208,29.66045761,4.881485939,85.87114716,10.58440971,46.43536377,50.51733017,22.522995,22.83668327,14.89106369,17.21636581,38.73006058
2008-08-31,3.023319244,49.00668335,27.44517517,42.48184204,17.45565605,46.92523575,43.81798935,163.4311371,21.54346657,28.09823799,5.206404209,81.99569702,11.01264954,48.07486343,50.51018906,20.63012695,23.86335564,15.46137714,17.76260376,36.42046356
2008-09-30,3.524946451,41.29502869,26.03686333,42.27628708,17.85328102,49.1377182,44.42627335,176.5125275,26.71047974,34.0916481,3.490591049,78.78269958,10.62654495,47.28986359,49.02663803,18.24990463,25.06527138,13.49427319,16.23012352,31.3736763
2008-10-31,1.484544516,26.73458481,21.98159409,39.69311142,14.87548351,39.30602646,41.39974213,118.9483948,24.2337265,30.34541321,3.304176331,62.62334061,10.20586109,41.87010574,46.79184723,13.32009697,25.2753067,13.14269161,15.24896145,21.32050323
2008-11-30,1.823481083,28.68719292,19.10557175,40.61241913,15.95874405,39.0922966,41.45165253,72.240448,20.76236343,23.29056168,2.845971823,55.27194214,9.635714531,40.31848145,50.88953781,12.09224224,23.89682007,14.02148914,16.78053856,27.23747444
